,peak_severity,total_death
population_distribution_0,0.0018445513023970354,0.0009723447691253477
population_distribution_1,0.0017487499381975734,0.0010358925295629146
population_distribution_2,0.001720453700750672,0.0009585539774926514
population_distribution_3,0.0017874389570468928,0.0009720111075223758
population_distribution_4,0.0017702749973753156,0.0009265449241903628
gender_balance,0.0017273480314281516,0.0009912631922572334
time_latent_mean,0.005977009617714028,0.0009825829179809214
time_latent_max,0.004471540613753284,0.0009330799042593215
time_recovery_asymp_mean,0.0017511202513595704,0.0010016953792264772
time_recovery_asymp_max,0.0018173154509817761,0.0010071391526808556
time_recovery_symp_mean,0.0016692458614518098,0.0009355501483218134
time_recovery_symp_max,0.0016453941232854544,0.0008982281817442932
time_recovery_syv_mean,0.008405415905304314,0.0008597117391651414
time_recovery_syv_max,0.004553939017510858,0.0008560381586198293
time_symptoms_onset_mean,0.0033749758506179794,0.0010678135922761306
time_symptoms_onset_max,0.0033210301039059273,0.0010241939184073433
time_decline_mean,0.0034270389902472664,0.0009119850199711986
time_decline_max,0.00328264960447294,0.000932803165086663
time_death_mean,0.0786864764047311,0.0008792485677021234
time_death_max,0.020322496917901625,0.0009142004022140174
time_test_administered_mean,0.001418790332136046,0.0007239510372093549
time_test_administered_max,0.001692250504545667,0.0009255056079357173
time_test_result_mean,0.0014326408247550273,0.0007511641221232644
time_test_result_max,0.0016889945253446652,0.0009499663979922727
test_accuracy,0.0016827593445302002,0.0009227712557002756
exposure_threshold,0.001700699921078036,0.0009460744256627648
exposure_probability4unit_contact,0.09425384157456138,0.1080391658376286
exposure_exponent,0.18420856231425237,0.14159065652485892
random_infection_rate,0.5586169950183631,0.7260898640430818
