,peak_severity,total_death
population_distribution_0,0.008323295225081987,0.01747242268884079
population_distribution_1,0.010846368191964394,0.028096427927651876
population_distribution_2,0.008069889670717423,0.019632933192265757
population_distribution_3,0.008118617355381932,0.013345361759027263
population_distribution_4,0.008024980316354024,0.019865817352157904
gender_balance,0.010554762225004273,0.030450009352238853
time_latent_mean,0.02321112747321707,0.012932566736893157
time_latent_max,0.009042429139709885,0.019487082065736447
time_recovery_asymp_mean,0.00781555032718814,0.014618113904864451
time_recovery_asymp_max,0.008113725381292848,0.013035739678894294
time_recovery_symp_mean,0.008048525976428984,0.022431790514469044
time_recovery_symp_max,0.00942249147378171,0.014802182051157483
time_recovery_syv_mean,0.011137780681126001,0.013253390534463788
time_recovery_syv_max,0.011288709137672527,0.014293200302186422
time_symptoms_onset_mean,0.013563833499466126,0.017331316754944055
time_symptoms_onset_max,0.010661673809142387,0.015956344190327133
time_decline_mean,0.009458360093180788,0.014461206320799941
time_decline_max,0.010896804795435491,0.015556950252318683
time_death_mean,0.07964744129181531,0.019208681909307666
time_death_max,0.046648152497348105,0.017066206027710376
time_test_administered_mean,0.006556491091991235,0.008702930463412134
time_test_administered_max,0.008020989203992489,0.019038397673329172
time_test_result_mean,0.007006654044986051,0.00790710104244306
time_test_result_max,0.0086958954175246,0.017726849388734884
test_accuracy,0.00794490470321716,0.016555064378194186
exposure_threshold,0.009898104434265002,0.014634743762354031
exposure_probability4unit_contact,0.29219016260304753,0.133249758801451
exposure_exponent,0.1550024921659653,0.05950298300928773
random_infection_rate,0.19178978777370134,0.3693844279645384
